"id","y","z","latitude","longitude"
"1",-0.111466300827501,1.33491258537547,1.75,1.75
"2",-0.0675980973880868,-0.869271763875442,1.75,5.25
"3",-0.131008799398039,0.0554869546651026,1.75,8.75
"4",-0.0545205348454409,0.0490669131919192,1.75,12.25
"5",-0.136375313651455,-0.578355728360897,1.75,15.75
"6",-0.0581125317550681,-0.998738655996004,1.75,19.25
"7",-0.12023440623342,-0.00243278000660164,1.75,22.75
"8",-0.0852190190586083,0.655511882812969,1.75,26.25
"9",-0.0880570411742622,1.47684227897655,1.75,29.75
"10",-0.110773147833098,-1.90915278827921,1.75,33.25
"11",-0.0615600473846526,-0.702439473312409,1.75,36.75
"12",-0.129547306346794,-0.311430218011919,1.75,40.25
"13",-0.0491713057624446,-1.66315703066738,1.75,43.75
"14",-0.137261539467653,-0.75053344179229,1.75,47.25
"15",-0.0616393971924497,-0.777351759181508,1.75,50.75
"16",-0.117502791196959,-0.722569699859602,1.75,54.25
"17",-0.0859805220377943,-2.18883459914707,1.75,57.75
"18",-0.0852900450634664,0.213418550286554,1.75,61.25
"19",-0.118042013823164,-0.631922936254832,1.75,64.75
"20",-0.0586765195941826,1.52049119383216,1.75,68.25
"21",-0.134833300226366,0.795955949415082,1.75,71.75
"22",-0.0526085671217714,-1.4535295651328,1.75,75.25
"23",-0.129909394161384,0.0983954210058388,1.75,78.75
"24",-0.0630601808991789,-0.593770984233154,1.75,82.25
"25",-0.113947900213214,0.888281168634515,1.75,85.75
"26",-0.0887368433571595,0.0530704154986665,1.75,89.25
"27",-0.0860490030232744,-0.557023625844656,1.75,92.75
"28",-0.115535094129752,0.43839703617272,1.75,96.25
"29",-0.0592983649261857,0.152608158642419,1.75,99.75
"30",0.00163324044456848,-0.164617581749564,5.25,1.75
"31",-0.19040386508033,2.01989062147597,5.25,5.25
"32",0.0350498185884855,-0.529385886317261,5.25,8.75
"33",-0.218937848806413,-0.470786972984042,5.25,12.25
"34",0.0150482748849509,-1.54593692401752,5.25,15.75
"35",-0.163896795070493,-0.0405267232951771,5.25,19.25
"36",-0.0510289690675473,0.890356305470676,5.25,22.75
"37",-0.0731808093770395,-2.07138785092921,5.25,26.25
"38",-0.146944683338119,-0.250065120073019,5.25,29.75
"39",0.0125273924747078,-1.18165042665332,5.25,33.25
"40",-0.212091600854963,1.44193726501691,5.25,36.75
"41",0.0340502883843113,1.35789553887886,5.25,40.25
"42",-0.211368195783111,0.33450284734065,5.25,43.75
"43",0.0205121185287245,1.42933808040023,5.25,47.25
"44",-0.150888617974333,-0.867317850878684,5.25,50.75
"45",-0.0667506964681867,0.950651724971886,5.25,54.25
"46",-0.0650803765441011,-0.585011508633235,5.25,57.75
"47",-0.157520173339173,0.320957522525629,5.25,61.25
