,longitude,latitude,id,y,z,synth
0,1.75,1.75,0.0,-0.11146630082750099,1.33491258537547,0.0
1,3.5,1.75,1.0,-0.08953219910779389,0.23282041075001397,1.0
2,5.25,1.75,2.0,-0.0675980973880868,-0.869271763875442,0.0
3,7.0,1.75,3.0,-0.0993034483930629,-0.40689240460516973,1.0
4,8.75,1.75,4.0,-0.131008799398039,0.0554869546651026,0.0
5,10.5,1.75,5.0,-0.09276466712173995,0.052276933928510905,1.0
6,12.25,1.75,6.0,-0.0545205348454409,0.0490669131919192,0.0
7,14.0,1.75,7.0,-0.09544792424844795,-0.26464440758448887,1.0
8,15.75,1.75,8.0,-0.136375313651455,-0.578355728360897,0.0
9,17.5,1.75,9.0,-0.09724392270326154,-0.7885471921784506,1.0
10,19.25,1.75,10.0,-0.0581125317550681,-0.9987386559960041,0.0
11,21.0,1.75,11.0,-0.08917346899424405,-0.5005857180013029,1.0
12,22.75,1.75,12.0,-0.12023440623342,-0.0024327800066016396,0.0
13,24.5,1.75,13.0,-0.10272671264601416,0.3265395514031837,1.0
14,26.25,1.75,14.0,-0.0852190190586083,0.655511882812969,0.0
15,28.0,1.75,15.0,-0.08663803011643526,1.0661770808947595,1.0
16,29.75,1.75,16.0,-0.0880570411742622,1.47684227897655,0.0
17,31.5,1.75,17.0,-0.09941509450368011,-0.21615525465133,1.0
18,33.25,1.75,18.0,-0.11077314783309801,-1.90915278827921,0.0
19,35.0,1.75,19.0,-0.08616659760887531,-1.3057961307958095,1.0
20,36.75,1.75,20.0,-0.0615600473846526,-0.702439473312409,0.0
21,38.5,1.75,21.0,-0.0955536768657233,-0.506934845662164,1.0
22,40.25,1.75,22.0,-0.129547306346794,-0.311430218011919,0.0
23,42.0,1.75,23.0,-0.08935930605461931,-0.9872936243396494,1.0
24,43.75,1.75,24.0,-0.0491713057624446,-1.6631570306673797,0.0
25,45.5,1.75,25.0,-0.09321642261504881,-1.206845236229835,1.0
26,47.25,1.75,26.0,-0.13726153946765302,-0.7505334417922901,0.0
27,49.0,1.75,27.0,-0.09945046833005136,-0.763942600486899,1.0
28,50.75,1.75,28.0,-0.0616393971924497,-0.777351759181508,0.0
29,52.5,1.75,29.0,-0.08957109419470435,-0.749960729520555,1.0
30,54.25,1.75,30.0,-0.117502791196959,-0.722569699859602,0.0
